0,1,2,3,4,5
0.99958575,1.0008602,1.000258,0.9992887,1.0008957,1.0000341
1.0014579,0.98889184,0.9988806,0.9991359,0.9984779,1.0000184
1.0003562,1.0013278,1.0020058,1.001873,1.0018824,0.9998472
1.0001451,0.9986573,1.0035454,1.0007629,0.9988185,1.0002142
0.99829483,1.00038,1.001034,0.9979811,0.9998919,1.0005358
0.9947516,1.0025396,0.99832606,0.9980489,0.99648154,1.0004956
0.9998971,1.0010849,0.99733573,0.9998832,1.0017025,0.9997885
1.0050339,1.0011024,1.0028858,1.0015382,1.0002829,0.9991401
1.0011107,0.99906516,0.99940795,1.001619,0.9982698,0.99973226
1.0025734,0.99912274,1.0011642,1.0002209,0.9994148,0.9993315
0.99614406,0.99982095,0.999049,1.0002522,0.99943936,1.0005912
0.9991785,1.0019189,1.0035951,1.0006834,1.0032957,0.999943
0.99437916,0.99979734,1.0003706,0.99954337,0.99978673,0.99818504
1.0009105,0.9993956,0.9964589,1.0015585,1.0013994,1.0003765
0.99508476,0.99811697,0.99290526,0.9983006,0.9993657,0.9995098
1.0050828,1.0007846,0.9983459,1.0021255,0.9986817,0.9995686
1.0007591,0.999555,1.0042545,0.9988828,0.9981253,1.0002004
1.0034466,1.0002499,1.0045674,1.0006301,0.9993745,0.99997795
0.99656326,1.0010351,0.99177504,0.9999137,1.0008826,0.99953556
1.0002079,1.0008299,0.9958327,1.001156,1.0013765,0.9999087
0.9976443,1.0007331,1.0019975,1.000504,0.9998946,0.9987169
0.9972701,1.0038174,0.9978385,1.0016385,0.99705005,1.0001986
1.000205,0.9986818,0.99880195,0.9996464,0.9991172,1.000282
1.0038835,0.9969944,1.0018482,0.9994979,0.99834,0.99933434
1.0008126,1.0014572,1.0002716,1.0011714,1.0011642,0.99936736
1.0026637,0.99807405,0.99983466,0.99812186,1.0007463,0.99975294
0.99734795,1.0011723,0.99944675,0.99988735,1.0004684,0.9998586
0.99994516,0.9981954,1.0008341,1.0005838,0.9989617,0.99914324
1.0004138,1.0032812,1.0049448,1.0002841,0.9995518,1.0006936
0.996053,1.0012875,0.99702334,1.0006738,1.0012959,1.0007939
0.9986417,0.99734885,0.9947332,1.0019994,0.99914783,0.99992454
0.9985753,1.0004811,0.9977815,1.0009719,1.0012822,0.99973404
1.0012299,0.9970908,0.9945133,0.99618363,1.0000626,1.0004965
0.9963242,1.0015637,0.9929576,0.9993255,1.0005292,0.9999753
0.99659854,0.9982146,0.99642175,0.99833393,0.9995508,0.9991857
1.0010723,0.99241054,1.00127,0.9972335,1.0000737,0.99944806
0.9975523,0.9987472,1.0049982,0.99865675,1.000256,1.0002623
0.9951044,0.9971832,0.99836254,0.99875724,0.9991778,1.0001509
1.0006125,1.0011296,0.9990079,0.99911153,1.000278,1.0002573
1.0050011,1.0009654,0.9965373,1.0009704,0.99983555,0.99910074
0.99975526,0.99737144,0.99773026,1.0015888,0.99987733,0.9999416
0.9968678,1.0006409,1.0041443,1.0045158,1.002399,0.99960774
1.0003362,1.0015856,1.0068604,1.002444,1.0003772,0.99989486
1.0012269,1.003175,0.9983611,1.0021379,1.0029558,0.99982214
0.9971309,0.99830747,1.0026283,0.9972777,1.0006738,0.99987257
0.9984183,0.99711,1.0026811,0.9978756,0.9996684,1.0002072
0.99994445,0.9983135,1.0013261,0.9997641,0.99951154,1.0003885
1.0020093,0.9950438,1.0023108,0.998516,0.9965461,0.9998948
1.0026788,0.9988706,0.993685,1.0018556,1.0023694,0.9999903
0.99987257,0.99859905,0.99984086,0.99806,1.0005655,0.99924296
1.0016384,0.9995948,0.9995714,0.99903023,1.0032617,1.0000367
1.0011222,1.0005908,1.0010961,0.99705696,1.0006218,0.99989045
1.0003853,0.99625933,1.000114,0.99952585,1.0020399,0.99962914
0.99933827,1.001586,1.0026131,1.0007958,0.9957676,1.0008641
1.0020193,1.0010386,0.9962752,1.0002172,1.0017747,1.0001106
0.9973736,0.9988247,1.0046467,1.0016739,1.0000694,1.0001249
1.0042119,0.9957992,1.0035664,1.0009968,1.0011435,0.9995406
0.99943453,0.9993161,1.0051203,1.001896,1.000866,1.0001626
0.9986849,1.0001142,0.99697745,1.0018617,1.0017078,1.0005448
0.9982783,0.998613,1.0013388,1.0036927,0.9990268,0.9997803
0.9970459,0.9988769,1.0012021,1.0016197,1.0043944,0.99929833
1.0009644,0.9987627,0.99894994,1.0022541,0.99838555,0.99942315
1.0010093,1.0045259,0.9997281,1.0013018,0.99795884,0.99998415
1.0016501,0.9991611,0.999334,1.0018954,0.99759686,1.0003655
0.99795926,0.9963158,0.99926734,1.0022434,1.0026805,0.999431
1.0004768,0.9990289,1.0011709,0.99952483,1.0038881,0.999883
0.9987708,1.0029603,1.0000166,1.0012186,0.9995285,1.0009547
0.996724,0.9979001,1.0004386,1.0022238,0.99909353,0.999055
1.0009615,1.0003448,0.99879336,1.005042,1.0020198,1.0001223
0.99855876,0.999717,0.99895513,1.0024674,1.0000021,1.0006323
0.99825644,0.9973422,1.0034192,0.9994025,1.0001109,1.0004225
1.0027425,0.9977435,1.0014136,0.9980637,1.0034502,0.9997038
1.0057429,0.99910307,0.99747086,1.0013864,0.9975917,1.0002712
1.0018134,0.9984618,0.99766034,1.0032566,0.9967394,0.99905765
1.0038626,1.0021228,1.0008249,1.0027065,1.0021653,1.000613
1.0021946,0.9979097,1.0031252,0.9982891,1.0056157,0.9997783
1.0015357,0.9990678,0.9990026,0.99549174,1.0027411,1.0004499
1.0010905,1.0009596,0.99959636,0.9975091,0.99986666,0.9994516
1.0013943,1.0028977,0.9969832,1.0009766,0.9983982,0.99965715
0.99550545,1.0020975,0.9968029,1.0030367,0.9982242,0.9998162
1.0007548,1.0012623,0.99637544,0.99943316,1.0017077,1.0004389
0.9970635,0.99932265,1.0044357,1.002372,1.0015835,0.9993001
1.000124,1.0008255,1.0031801,1.0007348,1.0001962,1.0000658
0.99827933,0.9958417,0.99911046,0.9986266,1.0003684,0.9993491
1.0001392,0.99945045,1.0063164,0.9969021,0.99844897,1.0001194
1.0031801,1.00178,1.0036721,0.99501026,0.99949896,1.0001731
1.0006489,1.0015085,1.0022792,1.0017715,0.9999527,1.0002669
0.99527943,0.9995272,0.9972907,1.0033307,1.0008304,1.0002233
0.9955603,1.0043249,1.0002296,0.99760824,1.0023584,0.99995196
1.0011438,0.9962595,1.0012918,1.0044696,1.0008848,1.0003549
1.0047139,1.0003808,1.0064317,1.0060983,1.0002003,0.99989104
1.001782,0.9998508,0.99638736,1.0001438,1.0014648,1.0000796
1.003457,0.9952531,1.0014035,1.0027364,0.99853694,0.99931365
0.99584496,0.999114,0.9995558,1.0016066,0.9957388,1.0006516
0.9997056,0.99884105,1.0015616,0.9995549,0.99856704,0.9999115
1.0039401,0.9976578,1.0013447,0.9989823,0.9994261,1.0000736
0.9996618,0.9989726,0.99754155,0.999821,0.9986829,0.9993174
0.9988656,0.9973742,1.0016929,1.0008366,0.9978471,1.0009563
1.0028498,0.9985384,0.99967504,0.9996655,1.0017037,1.0004047
1.000751,0.99934393,0.9980043,1.0026584,0.99953115,0.999552
1.0021955,0.99919,1.0005155,1.0032372,1.0037227,1.0002612
0.99764085,1.0009904,1.0007527,0.9995135,0.99758434,1.0000546
1.0023274,0.99825335,0.9959808,1.0001862,1.0019832,1.0009508
1.0013304,1.0003774,1.0014797,0.9981235,1.0012792,1.0016756
0.9981723,1.003402,0.9962648,1.00087,0.9988446,1.000016
1.0026354,1.0010135,1.0030193,1.0017172,0.99837315,1.0000181
1.0026169,0.99732214,0.9969193,1.0023906,0.99884593,1.0000198
0.99867487,1.0013537,1.0029117,0.99550855,0.9992978,1.0006309
1.0022444,0.9975151,0.9997941,1.0011864,0.9956856,0.9991089
0.99364436,1.0022516,0.9986854,0.9999807,0.99884117,0.9998648
1.0028651,0.99952805,1.003782,0.99985933,0.9975376,1.0000733
0.99645984,0.9999409,1.0005791,1.0006336,1.0016258,0.99904454
1.0025498,0.9909378,1.0033271,1.0011947,1.0060505,1.0003973
1.0033596,1.0041021,1.0065017,0.9981551,0.9985824,0.9998715
0.99648255,1.0001739,1.0016987,1.0022268,1.0039678,1.0000963
0.99980086,0.99806607,1.0044279,0.9954249,1.0035063,1.0006483
1.0001916,0.9986031,1.0011952,1.0023354,0.9986111,1.0002446
0.9981493,1.0033096,1.0005153,0.9956249,1.0004089,1.0007863
0.9971658,1.0027468,1.0008874,1.0002849,1.0004493,1.0001389
0.9966564,1.0012047,1.0019966,0.99448,1.0069578,0.9994366
0.9937438,0.9938977,0.9976269,1.0038972,0.99958456,1.0019631
1.0056583,1.0026929,0.99562955,1.0014886,0.9949224,1.0003102
0.99999464,1.0030212,0.99994457,1.000726,1.004674,0.99976313
0.99937284,1.0020314,1.0004402,0.9927352,1.0020419,0.9987988
0.9982664,1.0090992,0.99948364,1.0005487,1.0022897,1.0003695
0.9951408,0.99793077,1.0005302,0.9974674,1.0025492,0.99960774
0.9967135,0.9981934,0.99761534,0.99995935,0.99248123,1.000308
0.9916045,0.99994475,0.99872744,0.99827874,0.99929684,1.0000663
0.9949229,0.99816287,1.0010949,0.9998869,0.9950698,1.0003525
0.9998176,0.9998799,1.0003613,0.9990494,1.0004522,0.999382
1.000881,1.0008252,0.99557555,1.0010643,1.0008471,1.0003971
1.0028913,0.9953829,1.0010219,0.9951105,0.99869764,1.0005875
